,Prefecture,Kanji,Capital,Region,Major Island,Population,Area,Density,Distr.,Municip.,ISO,Area code
0, ,愛知県,Nagoya,Chūbu,Honshu,"7,484,094","5,172.4","1,446.9",7,54,JP-23,052
1, ,秋田県,Akita,Tōhoku,Honshu,"1,022,839","11,637.54",87.9,6,25,JP-05,018
2, ,青森県,Aomori,Tōhoku,Honshu,"1,308,649","9,645.4",135.7,8,40,JP-02,017
3, ,千葉県,Chiba,Kantō,Honshu,"6,224,027","5,157.64","1,206.8",6,54,JP-12,043
4, ,愛媛県,Matsuyama,Shikoku,Shikoku,"1,385,840","5,676.1",244.2,7,20,JP-38,089
5, ,福井県,Fukui,Chūbu,Honshu,"787,099","4,190.43",187.8,7,17,JP-18,077
6, ,福岡県,Fukuoka,Kyushu,Kyushu,"5,102,871","4,986.4","1,023.4",12,60,JP-40,092
7, ,福島県,Fukushima,Tōhoku,Honshu,"1,913,606","13,783.75",138.8,13,59,JP-07,024
8, ,岐阜県,Gifu,Chūbu,Honshu,"2,032,533","10,621.29",191.4,9,42,JP-21,058
9, ,群馬県,Maebashi,Kantō,Honshu,"1,973,476","6,362.28",310.2,7,35,JP-10,027
10, ,広島県,Hiroshima,Chūgoku,Honshu,"2,844,963","8,479.38",335.5,5,23,JP-34,082
11, ,北海道,Sapporo,Hokkaido,Hokkaido,"5,383,579","83,424.22",68.6,66,180,JP-01,011–016
12, ,兵庫県,Kōbe,Kansai,Honshu,"5,536,989","8,400.9",659.1,8,41,JP-28,017
13, ,茨城県,Mito,Kantō,Honshu,"2,917,857","6,096.93",478.6,7,44,JP-08,029
14, ,石川県,Kanazawa,Chūbu,Honshu,"1,154,343","4,186.15",275.8,5,19,JP-17,076
15, ,岩手県,Morioka,Tōhoku,Honshu,"1,279,814","15,275.01",83.8,10,33,JP-03,019
16, ,香川県,Takamatsu,Shikoku,Shikoku,"976,756","1,876.73",520.5,5,17,JP-37,087
17, ,鹿児島県,Kagoshima,Kyushu,Kyushu,"1,648,752","9,188.1",179.4,8,43,JP-46,099
18, ,神奈川県,Yokohama,Kantō,Honshu,"9,127,323","2,415.81","3,778.2",6,33,JP-14,045
19,Kochi,高知県,Kochi,Shikoku,Shikoku,"728,461","7,103.91",102.5,6,34,JP-39,088
20, ,熊本県,Kumamoto,Kyushu,Kyushu,"1,786,969","7,409.32",241.2,9,45,JP-43,099
21, ,京都府,Kyoto,Kansai,Honshu,"2,610,140","4,612.2",565.9,6,26,JP-26,017
22, ,三重県,Tsu,Kansai,Honshu,"1,815,827","5,774.39",314.5,7,29,JP-24,059
23, ,宮城県,Sendai,Tōhoku,Honshu,"2,334,215","7,282.14",320.5,10,35,JP-04,022
24, ,宮崎県,Miyazaki,Kyushu,Kyushu,"1,104,377","7,735.31",142.8,6,26,JP-45,098
25, ,長野県,Nagano,Chūbu,Honshu,"2,099,759","13,561.56",154.8,14,77,JP-20,026
26, ,長崎県,Nagasaki,Kyushu,Kyushu,"1,377,780","4,132.32",333.4,4,21,JP-42,095
27, ,奈良県,Nara,Kansai,Honshu,"1,365,008","3,690.94",369.8,7,39,JP-29,074
28, ,新潟県,Niigata,Chūbu,Honshu,"2,305,098","12,584.1",183.2,9,30,JP-15,025
29,Oita,大分県,Oita,Kyushu,Kyushu,"1,166,729","6,340.61",184,3,18,JP-44,097
30, ,岡山県,Okayama,Chūgoku,Honshu,"1,922,181","7,114.62",270.2,10,27,JP-33,086
31, ,沖縄県,Naha,Kyushu,Ryukyu Islands,"1,434,138","2,281",628.7,5,41,JP-47,098
32, ,大阪府,Ōsaka,Kansai,Honshu,"8,838,908","1,904.99","4,639.9",5,43,JP-27,06x
33, ,佐賀県,Saga,Kyushu,Kyushu,"833,245","2,440.64",341.4,6,20,JP-41,095
34, ,埼玉県,Saitama,Kantō,Honshu,"7,261,271","3,797.75","1,912",8,63,JP-11,048
35, ,滋賀県,Ōtsu,Kansai,Honshu,"1,413,184","4,017.38",351.8,3,19,JP-25,077
36, ,島根県,Matsue,Chūgoku,Honshu,"694,188","6,708.23",103.5,5,19,JP-32,085
37, ,静岡県,Shizuoka,Chūbu,Honshu,"3,701,181","7,778.7",475.8,5,35,JP-22,054
38, ,栃木県,Utsunomiya,Kantō,Honshu,"1,974,671","6,408.09",308.2,5,26,JP-09,028
39, ,徳島県,Tokushima,Shikoku,Shikoku,"756,063","4,146.93",182.3,8,24,JP-36,088
40, ,東京都,Tokyo,Kantō,Honshu,"13,513,734","2,190.9","6,168.1",1,39,JP-13,03x
41, ,鳥取県,Tottori,Chūgoku,Honshu,"573,648","3,507.05",163.6,5,19,JP-31,085
42, ,富山県,Toyama,Chūbu,Honshu,"1,066,883","4,247.61",251.2,2,15,JP-16,076
43, ,和歌山県,Wakayama,Kansai,Honshu,"963,850","4,724.68",204,6,30,JP-30,073
44, ,山形県,Yamagata,Tōhoku,Honshu,"1,122,957","9,323.15",120.4,8,35,JP-06,023
45, ,山口県,Yamaguchi,Chūgoku,Honshu,"1,405,007","6,112.3",229.9,4,19,JP-35,083
46, ,山梨県,Kōfu,Chūbu,Honshu,"835,165","4,464.99",187,5,27,JP-19,055
