,movie,year,imdb,metascore,votes
0,Logan,(2017),8.1,77,486289
1,Wonder Woman,(2017),7.5,76,416206
2,Dunkirk,(2017),8.0,94,394358
3,Star Wars: Episode VIII - The Last Jedi,(2017),7.3,85,388349
4,Guardians of the Galaxy: Vol. 2,(2017),7.7,67,385575
5,Thor: Ragnarok,(2017),7.9,74,342909
6,Spider-Man Homecoming,(2017),7.5,73,331379
7,Get Out,(I) (2017),7.7,84,309555
8,Baby Driver,(2017),7.7,86,302954
9,Blade Runner 2049,(2017),8.1,81,300747
10,It,(I) (2017),7.5,69,278237
11,Justice League,(2017),6.6,45,256673
12,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88,242694
13,John Wick: Chapter 2,(2017),7.5,75,231221
14,The Shape of Water,(2017),7.4,87,220521
15,Beauty and the Beast,(2017),7.2,65,208460
16,Kong: Skull Island,(2017),6.7,62,207324
17,Alien: Covenant,(2017),6.4,65,200873
18,Pirates of the Caribbean: Salazar's Revenge,(2017),6.6,39,196893
19,Coco,(I) (2017),8.5,81,182297
20,Kingsman: The Golden Circle,(2017),6.8,44,182177
21,War for the Planet of the Apes,(2017),7.5,82,173817
22,Jumanji: Welcome to the Jungle,(2017),7.0,58,170193
23,Fast & Furious 8,(2017),6.7,56,161721
24,Life,(I) (2017),6.6,54,158392
25,Ghost in the Shell,(2017),6.4,52,153729
26,King Arthur: Legend of the Sword,(2017),6.8,41,149344
27,Murder on the Orient Express,(2017),6.6,52,139717
28,The Mummy,(2017),5.5,34,133877
29,The Hitman's Bodyguard,(2017),6.9,47,133295
30,The Greatest Showman,(2017),7.7,48,130173
31,Bright,(I) (2017),6.4,29,127854
32,Wind River,(2017),7.8,73,126501
33,Lady Bird,(2017),7.5,94,126262
34,Atomic Blonde,(2017),6.7,63,125070
35,Mother!,(2017),6.7,75,120068
36,Valerian and the City of a Thousand Planets,(2017),6.5,51,118405
37,Call Me by Your Name,(2017),8.0,93,109271
38,Baywatch,(2017),5.6,37,106519
39,American Made,(2017),7.2,65,100954
40,The Lego Batman Movie,(2017),7.3,75,100422
41,Darkest Hour,(2017),7.4,75,100168
42,Transformers: The Last Knight,(2017),5.2,27,99374
43,"I, Tonya",(2017),7.5,77,92834
44,The Dark Tower,(2017),5.7,34,91139
45,The Big Sick,(2017),7.6,86,86817
